GP,Year,Driver,Team,DriverPointsBefore,TeamPointsBefore,DriverRecentForm,TeamRecentForm,QualifyingTime (s),AvgRaceTime (s),StartPosition,EndPosition
French Grand Prix,2019,VER,Red Bull Racing,88.0,122.0,4.0,6.0,89.409,96.15636538461538,4.0,4.0
French Grand Prix,2019,VET,Ferrari,100.0,170.0,2.6666666666666665,8.333333333333334,89.799,96.64865384615385,7.0,5.0
French Grand Prix,2019,SAI,McLaren,18.0,30.0,8.333333333333334,14.0,89.522,97.30025,6.0,6.0
French Grand Prix,2019,RAI,Alfa Romeo Racing,13.0,13.0,15.333333333333334,15.666666666666666,90.533,97.4388431372549,12.0,7.0
French Grand Prix,2019,HUL,Renault,12.0,28.0,11.0,8.666666666666666,90.544,97.03182000000001,13.0,8.0
French Grand Prix,2019,NOR,McLaren,12.0,30.0,17.0,14.0,89.418,97.53439215686274,5.0,9.0
French Grand Prix,2019,GAS,Red Bull Racing,34.0,122.0,6.333333333333333,6.0,90.184,97.61492156862745,9.0,10.0
French Grand Prix,2019,RIC,Renault,16.0,28.0,9.0,8.666666666666666,89.918,97.4294705882353,8.0,11.0
French Grand Prix,2019,PER,Racing Point,13.0,19.0,13.0,12.333333333333334,90.738,97.66386274509804,14.0,12.0
French Grand Prix,2019,STR,Racing Point,6.0,19.0,14.666666666666666,12.333333333333334,91.726,97.67998039215686,17.0,13.0
French Grand Prix,2019,KVY,Toro Rosso,10.0,17.0,8.666666666666666,12.333333333333334,91.564,97.85170588235295,19.0,14.0
French Grand Prix,2019,ALB,Toro Rosso,7.0,17.0,12.666666666666666,12.333333333333334,90.461,97.95950980392158,11.0,15.0
French Grand Prix,2019,GIO,Alfa Romeo Racing,0.0,13.0,16.0,15.666666666666666,93.42,98.37649019607844,10.0,16.0
French Grand Prix,2019,MAG,Haas F1 Team,14.0,16.0,12.666666666666666,15.0,91.44,98.41286274509802,15.0,17.0
French Grand Prix,2019,KUB,Williams,0.0,0.0,18.0,17.333333333333332,93.205,99.79528,18.0,18.0
French Grand Prix,2019,RUS,Williams,0.0,0.0,16.0,17.333333333333332,92.789,99.95204,20.0,19.0
French Grand Prix,2019,GRO,Haas F1 Team,2.0,16.0,11.333333333333334,15.0,91.626,98.35909302325581,16.0,20.0
Austrian Grand Prix,2019,VER,Red Bull Racing,100.0,135.0,4.333333333333333,7.333333333333333,63.439,69.21704285714286,2.0,1.0
Austrian Grand Prix,2019,LEC,Ferrari,85.0,195.0,8.666666666666666,3.6666666666666665,63.003,69.3285,1.0,2.0
Austrian Grand Prix,2019,BOT,Mercedes,149.0,335.0,3.0,2.3333333333333335,63.537,69.54241428571429,3.0,3.0
Austrian Grand Prix,2019,VET,Ferrari,110.0,195.0,3.0,3.6666666666666665,63.667,69.49621739130434,9.0,4.0
Austrian Grand Prix,2019,HAM,Mercedes,186.0,335.0,1.0,2.3333333333333335,63.262,69.58408571428572,4.0,5.0
Austrian Grand Prix,2019,NOR,McLaren,14.0,40.0,13.333333333333334,11.666666666666666,64.099,70.24998550724638,5.0,6.0
Austrian Grand Prix,2019,GAS,Red Bull Racing,35.0,135.0,7.666666666666667,7.333333333333333,64.199,70.3186231884058,8.0,7.0
Austrian Grand Prix,2019,SAI,McLaren,26.0,40.0,7.666666666666667,11.666666666666666,73.601,70.42037681159421,19.0,8.0
Austrian Grand Prix,2019,RAI,Alfa Romeo Racing,19.0,19.0,13.0,12.666666666666666,64.166,70.53630434782609,6.0,9.0
Austrian Grand Prix,2019,GIO,Alfa Romeo Racing,0.0,19.0,16.0,12.666666666666666,64.179,70.51595652173913,7.0,10.0
Austrian Grand Prix,2019,PER,Racing Point,13.0,19.0,12.0,12.333333333333334,64.789,70.54311594202899,13.0,11.0
Austrian Grand Prix,2019,RIC,Renault,16.0,32.0,8.666666666666666,8.666666666666666,64.79,70.53931884057971,12.0,12.0
Austrian Grand Prix,2019,HUL,Renault,16.0,32.0,9.333333333333334,8.666666666666666,64.516,70.57508695652173,15.0,13.0
Austrian Grand Prix,2019,STR,Racing Point,6.0,19.0,12.666666666666666,12.333333333333334,64.832,70.6845652173913,14.0,14.0
Austrian Grand Prix,2019,ALB,Toro Rosso,7.0,17.0,14.0,16.0,64.665,70.67508695652174,18.0,15.0
Austrian Grand Prix,2019,GRO,Haas F1 Team,2.0,16.0,14.666666666666666,18.0,64.49,70.81088405797101,11.0,16.0
Austrian Grand Prix,2019,KVY,Toro Rosso,10.0,17.0,10.333333333333334,16.0,65.324,71.09708695652174,16.0,17.0
Austrian Grand Prix,2019,RUS,Williams,0.0,0.0,16.666666666666668,18.333333333333332,65.904,71.39595588235295,0.0,18.0
Austrian Grand Prix,2019,MAG,Haas F1 Team,14.0,16.0,16.0,18.0,64.072,71.79120588235294,10.0,19.0
Austrian Grand Prix,2019,KUB,Williams,0.0,0.0,18.0,18.333333333333332,66.206,72.43859701492538,17.0,20.0
British Grand Prix,2019,HAM,Mercedes,196.0,360.0,2.3333333333333335,3.3333333333333335,85.099,92.07856,2.0,1.0
British Grand Prix,2019,BOT,Mercedes,164.0,360.0,3.0,3.3333333333333335,85.093,94.09645098039215,1.0,2.0
British Grand Prix,2019,LEC,Ferrari,103.0,225.0,2.6666666666666665,3.6666666666666665,85.172,94.16713725490197,3.0,3.0
British Grand Prix,2019,GAS,Red Bull Racing,41.0,166.0,8.333333333333334,6.0,85.59,94.2138431372549,5.0,4.0
British Grand Prix,2019,VER,Red Bull Racing,125.0,166.0,3.3333333333333335,6.0,85.276,94.33703921568627,4.0,5.0
British Grand Prix,2019,SAI,McLaren,30.0,52.0,8.333333333333334,7.666666666666667,86.578,94.52509803921568,13.0,6.0
British Grand Prix,2019,RIC,Renault,16.0,32.0,9.666666666666666,12.0,86.182,94.57274509803922,7.0,7.0
British Grand Prix,2019,RAI,Alfa Romeo Racing,21.0,22.0,10.333333333333334,11.666666666666666,86.546,94.74466666666667,12.0,8.0
British Grand Prix,2019,KVY,Toro Rosso,10.0,17.0,13.666666666666666,15.666666666666666,86.721,94.73590196078432,17.0,9.0
British Grand Prix,2019,HUL,Renault,16.0,32.0,9.333333333333334,12.0,86.386,94.92143137254902,10.0,10.0
British Grand Prix,2019,NOR,McLaren,22.0,52.0,11.666666666666666,7.666666666666667,86.224,94.96886274509805,8.0,11.0
British Grand Prix,2019,ALB,Toro Rosso,7.0,17.0,16.333333333333332,15.666666666666666,86.345,94.96982352941177,9.0,12.0
British Grand Prix,2019,STR,Racing Point,6.0,19.0,12.0,12.666666666666666,86.762,95.02676470588234,18.0,13.0
British Grand Prix,2019,RUS,Williams,0.0,0.0,17.666666666666668,19.0,87.789,95.58792,19.0,14.0
British Grand Prix,2019,KUB,Williams,0.0,0.0,18.666666666666668,19.0,88.257,95.77946,20.0,15.0
British Grand Prix,2019,VET,Ferrari,122.0,225.0,3.6666666666666665,3.6666666666666665,85.787,95.75106,6.0,16.0
British Grand Prix,2019,PER,Racing Point,13.0,19.0,11.666666666666666,12.666666666666666,86.928,96.03944,15.0,17.0
British Grand Prix,2019,GIO,Alfa Romeo Racing,1.0,22.0,13.0,11.666666666666666,86.519,93.44029411764707,11.0,18.0
British Grand Prix,2019,GRO,Haas F1 Team,2.0,16.0,16.666666666666668,18.333333333333332,86.757,99.747125,14.0,19.0
British Grand Prix,2019,MAG,Haas F1 Team,14.0,16.0,17.666666666666668,18.333333333333332,86.662,103.67159999999998,16.0,20.0
German Grand Prix,2019,VER,Red Bull Racing,135.0,188.0,3.3333333333333335,5.333333333333333,72.113,97.87571428571428,2.0,1.0
German Grand Prix,2019,VET,Ferrari,122.0,240.0,8.333333333333334,7.666666666666667,72.98236842105263,97.84128571428572,20.0,2.0
German Grand Prix,2019,KVY,Toro Rosso,12.0,19.0,13.333333333333334,12.666666666666666,73.135,97.8207619047619,14.0,3.0
German Grand Prix,2019,STR,Racing Point,6.0,19.0,13.333333333333334,14.666666666666666,73.45,96.98517741935484,15.0,4.0
German Grand Prix,2019,SAI,McLaren,38.0,60.0,6.666666666666667,8.333333333333334,72.897,97.91657142857143,7.0,5.0
German Grand Prix,2019,ALB,Toro Rosso,7.0,19.0,14.0,12.666666666666666,73.461,97.85753968253968,16.0,6.0
German Grand Prix,2019,GRO,Haas F1 Team,2.0,16.0,18.333333333333332,19.333333333333332,72.851,97.1975,6.0,7.0
German Grand Prix,2019,MAG,Haas F1 Team,14.0,16.0,18.666666666666668,19.333333333333332,72.789,98.0592857142857,12.0,8.0
German Grand Prix,2019,HAM,Mercedes,221.0,403.0,2.3333333333333335,2.6666666666666665,71.767,96.07395081967213,1.0,9.0
German Grand Prix,2019,KUB,Williams,0.0,0.0,17.666666666666668,16.333333333333332,74.839,98.0500634920635,18.0,10.0
German Grand Prix,2019,RUS,Williams,0.0,0.0,17.0,16.333333333333332,74.721,98.09649206349206,17.0,11.0
German Grand Prix,2019,RAI,Alfa Romeo Racing,25.0,26.0,8.0,12.0,72.538,98.07836507936507,5.0,12.0
German Grand Prix,2019,GIO,Alfa Romeo Racing,1.0,26.0,14.666666666666666,12.0,72.786,97.96620634920635,11.0,13.0
German Grand Prix,2019,GAS,Red Bull Racing,53.0,188.0,7.0,5.333333333333333,72.522,98.93805,4.0,14.0
German Grand Prix,2019,BOT,Mercedes,182.0,403.0,2.3333333333333335,2.6666666666666665,72.129,98.84241818181818,3.0,15.0
German Grand Prix,2019,HUL,Renault,17.0,39.0,10.333333333333334,10.0,73.126,101.10994736842105,9.0,16.0
German Grand Prix,2019,LEC,Ferrari,118.0,240.0,2.6666666666666665,7.666666666666667,72.344,95.92584615384615,10.0,17.0
German Grand Prix,2019,NOR,McLaren,22.0,60.0,8.666666666666666,8.333333333333334,73.333,98.40245833333334,19.0,18.0
German Grand Prix,2019,RIC,Renault,22.0,39.0,10.0,10.0,72.799,101.54525000000001,13.0,19.0
German Grand Prix,2019,PER,Racing Point,13.0,19.0,13.333333333333334,14.666666666666666,73.065,,8.0,20.0
Hungarian Grand Prix,2019,HAM,Mercedes,223.0,405.0,5.0,8.666666666666666,74.769,81.397,3.0,1.0
Hungarian Grand Prix,2019,VER,Red Bull Racing,160.0,213.0,2.3333333333333335,6.666666666666667,74.572,81.68098550724638,1.0,2.0
Hungarian Grand Prix,2019,VET,Ferrari,140.0,258.0,7.333333333333333,11.666666666666666,75.071,82.23402898550725,5.0,3.0
Hungarian Grand Prix,2019,LEC,Ferrari,118.0,258.0,7.333333333333333,11.666666666666666,75.043,82.32021739130435,4.0,4.0
Hungarian Grand Prix,2019,SAI,McLaren,48.0,70.0,6.333333333333333,11.333333333333334,75.852,82.92875,8.0,5.0
Hungarian Grand Prix,2019,GAS,Red Bull Racing,53.0,213.0,8.333333333333334,6.666666666666667,75.45,82.92117647058824,6.0,6.0
Hungarian Grand Prix,2019,RAI,Alfa Romeo Racing,25.0,26.0,9.666666666666666,14.333333333333334,76.041,82.97008823529413,10.0,7.0
Hungarian Grand Prix,2019,BOT,Mercedes,182.0,405.0,6.666666666666667,8.666666666666666,74.59,83.01629411764706,2.0,8.0
Hungarian Grand Prix,2019,NOR,McLaren,22.0,70.0,11.666666666666666,11.333333333333334,75.8,83.06666176470588,7.0,9.0
Hungarian Grand Prix,2019,ALB,Toro Rosso,15.0,42.0,11.0,7.0,76.687,83.44695588235294,12.0,10.0
Hungarian Grand Prix,2019,PER,Racing Point,13.0,31.0,16.0,13.666666666666666,77.109,83.61754411764707,16.0,11.0
Hungarian Grand Prix,2019,HUL,Renault,17.0,39.0,13.0,15.0,76.565,83.63379411764706,11.0,12.0
Hungarian Grand Prix,2019,MAG,Haas F1 Team,18.0,26.0,15.666666666666666,11.666666666666666,77.081,83.61088235294118,14.0,13.0
Hungarian Grand Prix,2019,RIC,Renault,22.0,39.0,12.666666666666666,15.0,77.257,83.59516176470588,20.0,14.0
Hungarian Grand Prix,2019,KVY,Toro Rosso,27.0,42.0,9.666666666666666,7.0,76.692,83.76494029850747,13.0,15.0
Hungarian Grand Prix,2019,RUS,Williams,0.0,1.0,14.333333333333334,12.0,77.031,84.58856716417911,15.0,16.0
Hungarian Grand Prix,2019,STR,Racing Point,18.0,31.0,10.333333333333334,13.666666666666666,77.542,84.62443283582088,18.0,17.0
Hungarian Grand Prix,2019,GIO,Alfa Romeo Racing,1.0,26.0,13.666666666666666,14.333333333333334,76.804,84.75443283582091,17.0,18.0
Hungarian Grand Prix,2019,KUB,Williams,1.0,1.0,15.0,12.0,78.324,85.07215151515152,19.0,19.0
Hungarian Grand Prix,2019,GRO,Haas F1 Team,8.0,26.0,14.0,11.666666666666666,76.013,84.84139583333334,9.0,20.0
Belgian Grand Prix,2019,LEC,Ferrari,130.0,285.0,8.0,8.0,102.519,108.82860000000001,1.0,1.0
Belgian Grand Prix,2019,HAM,Mercedes,248.0,434.0,3.6666666666666665,8.0,103.282,108.819425,3.0,2.0
Belgian Grand Prix,2019,BOT,Mercedes,186.0,434.0,8.333333333333334,8.0,103.415,109.097275,4.0,3.0
Belgian Grand Prix,2019,VET,Ferrari,155.0,285.0,7.0,8.0,103.267,109.470175,2.0,4.0
Belgian Grand Prix,2019,ALB,Red Bull Racing,16.0,239.0,9.333333333333334,7.333333333333333,105.799,110.69725000000001,17.0,5.0
Belgian Grand Prix,2019,PER,Racing Point,13.0,31.0,16.0,16.0,104.706,110.842175,7.0,6.0
Belgian Grand Prix,2019,KVY,Toro Rosso,27.0,43.0,9.0,10.333333333333334,106.518,110.93507500000001,19.0,7.0
Belgian Grand Prix,2019,HUL,Renault,17.0,39.0,12.666666666666666,15.0,104.542,111.32615000000001,12.0,8.0
Belgian Grand Prix,2019,GAS,Toro Rosso,61.0,43.0,8.0,10.333333333333334,106.435,111.446325,13.0,9.0
Belgian Grand Prix,2019,STR,Racing Point,18.0,31.0,11.333333333333334,16.0,105.047,111.45284999999998,16.0,10.0
Belgian Grand Prix,2019,NOR,McLaren,24.0,82.0,12.666666666666666,10.666666666666666,104.847,110.40715384615385,11.0,11.0
Belgian Grand Prix,2019,MAG,Haas F1 Team,18.0,26.0,13.666666666666666,13.666666666666666,105.086,111.69741025641025,8.0,12.0
Belgian Grand Prix,2019,GRO,Haas F1 Team,8.0,26.0,15.333333333333334,13.666666666666666,104.797,111.89271794871794,9.0,13.0
Belgian Grand Prix,2019,RIC,Renault,22.0,39.0,13.333333333333334,15.0,104.257,111.9905641025641,10.0,14.0
Belgian Grand Prix,2019,RUS,Williams,0.0,1.0,13.666666666666666,15.333333333333334,107.548,112.18973684210526,14.0,15.0
Belgian Grand Prix,2019,RAI,Alfa Romeo Racing,31.0,32.0,9.0,12.666666666666666,104.557,112.515,6.0,16.0
Belgian Grand Prix,2019,KUB,Williams,1.0,1.0,14.666666666666666,15.333333333333334,104.86610526315792,112.65558974358974,0.0,17.0
Belgian Grand Prix,2019,GIO,Alfa Romeo Racing,1.0,32.0,16.333333333333332,12.666666666666666,105.637,111.16631578947367,18.0,18.0
Belgian Grand Prix,2019,SAI,McLaren,58.0,82.0,5.333333333333333,10.666666666666666,106.507,,15.0,19.0
Belgian Grand Prix,2019,VER,Red Bull Racing,178.0,239.0,2.6666666666666665,7.333333333333333,103.69,,5.0,20.0
Italian Grand Prix,2019,LEC,Ferrari,155.0,322.0,7.333333333333333,3.0,79.307,85.38638461538461,1.0,1.0
Italian Grand Prix,2019,BOT,Mercedes,201.0,467.0,8.666666666666666,4.333333333333333,79.354,85.37498076923076,3.0,2.0
Italian Grand Prix,2019,HAM,Mercedes,266.0,467.0,4.0,4.333333333333333,79.346,86.04934615384614,2.0,3.0
Italian Grand Prix,2019,RIC,Renault,22.0,43.0,15.666666666666666,12.0,79.839,86.18738461538462,5.0,4.0
Italian Grand Prix,2019,HUL,Renault,21.0,43.0,12.0,12.0,80.049,86.45380769230769,6.0,5.0
Italian Grand Prix,2019,ALB,Red Bull Racing,26.0,249.0,7.0,10.333333333333334,80.021,86.41621153846154,8.0,6.0
Italian Grand Prix,2019,PER,Racing Point,21.0,40.0,12.333333333333334,11.0,81.291,86.62051923076923,18.0,7.0
Italian Grand Prix,2019,VER,Red Bull Racing,178.0,249.0,7.666666666666667,10.333333333333334,80.47510526315789,86.5389423076923,19.0,8.0
Italian Grand Prix,2019,GIO,Alfa Romeo Racing,1.0,32.0,16.333333333333332,17.333333333333332,80.517,86.9974705882353,10.0,9.0
Italian Grand Prix,2019,NOR,McLaren,24.0,82.0,12.666666666666666,13.0,81.068,86.95096078431372,16.0,10.0
Italian Grand Prix,2019,GAS,Toro Rosso,63.0,51.0,9.666666666666666,10.333333333333334,81.125,87.02125490196079,17.0,11.0
Italian Grand Prix,2019,STR,Racing Point,19.0,40.0,10.333333333333334,11.0,80.498,87.34137254901961,9.0,12.0
Italian Grand Prix,2019,VET,Ferrari,167.0,322.0,3.0,3.0,79.457,87.77429411764705,4.0,13.0
Italian Grand Prix,2019,RUS,Williams,0.0,1.0,14.0,17.0,81.8,87.68856862745099,14.0,14.0
Italian Grand Prix,2019,RAI,Alfa Romeo Racing,31.0,32.0,11.666666666666666,17.333333333333332,80.515,88.12594117647059,0.0,15.0
Italian Grand Prix,2019,GRO,Haas F1 Team,8.0,26.0,13.333333333333334,15.0,80.784,88.54282352941176,13.0,16.0
Italian Grand Prix,2019,KUB,Williams,1.0,1.0,15.333333333333334,17.0,82.356,89.1865,15.0,17.0
Italian Grand Prix,2019,MAG,Haas F1 Team,18.0,26.0,11.0,15.0,80.615,88.50354761904762,11.0,18.0
Italian Grand Prix,2019,KVY,Toro Rosso,33.0,51.0,8.333333333333334,10.333333333333334,80.63,87.44135714285714,12.0,19.0
Italian Grand Prix,2019,SAI,McLaren,58.0,82.0,9.666666666666666,13.0,80.455,86.2956923076923,7.0,20.0
Singapore Grand Prix,2019,VET,Ferrari,167.0,347.0,6.666666666666667,6.0,96.437,108.79157692307693,3.0,1.0
Singapore Grand Prix,2019,LEC,Ferrari,180.0,347.0,2.0,6.0,96.217,108.98748076923077,1.0,2.0
Singapore Grand Prix,2019,VER,Red Bull Racing,182.0,261.0,10.0,11.333333333333334,96.813,109.14123076923077,4.0,3.0
Singapore Grand Prix,2019,HAM,Mercedes,281.0,500.0,2.0,2.6666666666666665,96.408,109.47353846153845,2.0,4.0
Singapore Grand Prix,2019,BOT,Mercedes,219.0,500.0,4.333333333333333,2.6666666666666665,97.146,109.69575,5.0,5.0
Singapore Grand Prix,2019,ALB,Red Bull Racing,34.0,261.0,7.0,11.333333333333334,97.411,110.622,6.0,6.0
Singapore Grand Prix,2019,NOR,McLaren,25.0,83.0,10.0,16.333333333333332,98.329,110.81760377358489,9.0,7.0
Singapore Grand Prix,2019,GAS,Toro Rosso,63.0,51.0,8.666666666666666,13.0,98.699,111.08728301886792,11.0,8.0
Singapore Grand Prix,2019,HUL,Renault,31.0,65.0,8.333333333333334,7.666666666666667,98.264,110.78607547169811,8.0,9.0
Singapore Grand Prix,2019,GIO,Alfa Romeo Racing,3.0,34.0,15.0,14.0,98.697,112.0646111111111,10.0,10.0
Singapore Grand Prix,2019,GRO,Haas F1 Team,8.0,26.0,16.333333333333332,15.666666666666666,100.277,112.05233333333334,17.0,11.0
Singapore Grand Prix,2019,SAI,McLaren,58.0,83.0,14.666666666666666,16.333333333333332,97.818,111.31294444444445,7.0,12.0
Singapore Grand Prix,2019,STR,Racing Point,19.0,46.0,13.0,9.666666666666666,99.979,112.20169811320754,16.0,13.0
Singapore Grand Prix,2019,RIC,Renault,34.0,65.0,10.666666666666666,7.666666666666667,98.50173684210526,111.94658490566037,20.0,14.0
Singapore Grand Prix,2019,KVY,Toro Rosso,33.0,51.0,13.666666666666666,13.0,99.957,111.29807547169811,14.0,15.0
Singapore Grand Prix,2019,KUB,Williams,1.0,1.0,17.666666666666668,16.0,101.186,113.68481818181819,19.0,16.0
Singapore Grand Prix,2019,MAG,Haas F1 Team,18.0,26.0,14.333333333333334,15.666666666666666,99.65,112.25864150943396,13.0,17.0
Singapore Grand Prix,2019,RAI,Alfa Romeo Racing,31.0,34.0,12.666666666666666,14.0,98.858,111.66859523809524,12.0,18.0
Singapore Grand Prix,2019,PER,Racing Point,27.0,46.0,8.0,9.666666666666666,98.52,111.24747368421053,15.0,19.0
Singapore Grand Prix,2019,RUS,Williams,0.0,1.0,15.0,16.0,100.867,110.07418181818181,18.0,20.0
Russian Grand Prix,2019,HAM,Mercedes,293.0,522.0,3.0,4.0,92.03,99.43989361702128,2.0,1.0
Russian Grand Prix,2019,BOT,Mercedes,229.0,522.0,3.3333333333333335,4.0,92.632,100.74295833333333,4.0,2.0
Russian Grand Prix,2019,LEC,Ferrari,198.0,390.0,1.3333333333333333,5.333333333333333,91.628,99.61982978723404,1.0,3.0
Russian Grand Prix,2019,VER,Red Bull Racing,197.0,284.0,10.333333333333334,5.666666666666667,92.31,102.25102040816327,9.0,4.0
Russian Grand Prix,2019,ALB,Red Bull Racing,42.0,284.0,5.666666666666667,5.666666666666667,99.197,101.807,0.0,5.0
Russian Grand Prix,2019,SAI,McLaren,58.0,89.0,17.0,13.0,93.222,102.95993877551021,5.0,6.0
Russian Grand Prix,2019,PER,Racing Point,27.0,46.0,10.666666666666666,14.666666666666666,93.958,103.16883673469388,11.0,7.0
Russian Grand Prix,2019,NOR,McLaren,31.0,89.0,9.333333333333334,13.0,93.301,103.31467346938776,7.0,8.0
Russian Grand Prix,2019,MAG,Haas F1 Team,18.0,26.0,15.666666666666666,15.333333333333334,94.082,103.08361224489795,13.0,9.0
Russian Grand Prix,2019,HUL,Renault,33.0,67.0,7.333333333333333,9.333333333333334,93.289,103.4884081632653,6.0,10.0
Russian Grand Prix,2019,STR,Racing Point,19.0,46.0,11.666666666666666,14.666666666666666,94.233,103.39108163265306,14.0,11.0
Russian Grand Prix,2019,KVY,Toro Rosso,33.0,55.0,13.666666666666666,14.0,99.544,103.52218367346939,19.0,12.0
Russian Grand Prix,2019,RAI,Alfa Romeo Racing,31.0,35.0,16.333333333333332,14.333333333333334,94.84,103.53057142857142,15.0,13.0
Russian Grand Prix,2019,GAS,Toro Rosso,67.0,55.0,9.333333333333334,14.0,93.95,104.66275999999999,16.0,14.0
Russian Grand Prix,2019,GIO,Alfa Romeo Racing,4.0,35.0,12.333333333333334,14.333333333333334,94.037,104.63987999999999,12.0,15.0
Russian Grand Prix,2019,KUB,Williams,1.0,1.0,16.666666666666668,17.666666666666668,96.474,105.69384,18.0,16.0
Russian Grand Prix,2019,RUS,Williams,0.0,1.0,16.333333333333332,17.666666666666668,95.356,103.28608333333334,17.0,17.0
Russian Grand Prix,2019,VET,Ferrari,192.0,390.0,6.0,5.333333333333333,92.053,99.11747826086958,3.0,18.0
Russian Grand Prix,2019,RIC,Renault,34.0,67.0,10.666666666666666,9.333333333333334,93.661,105.3674347826087,10.0,19.0
Russian Grand Prix,2019,GRO,Haas F1 Team,8.0,26.0,13.333333333333334,15.333333333333334,93.517,,8.0,20.0
Japanese Grand Prix,2019,BOT,Mercedes,247.0,565.0,3.0,2.6666666666666665,87.293,94.36421153846155,3.0,1.0
Japanese Grand Prix,2019,VET,Ferrari,192.0,405.0,10.666666666666666,7.666666666666667,87.064,94.55659615384616,1.0,2.0
Japanese Grand Prix,2019,HAM,Mercedes,318.0,565.0,2.6666666666666665,2.6666666666666665,87.302,94.52721153846154,4.0,3.0
Japanese Grand Prix,2019,ALB,Red Bull Racing,52.0,306.0,5.666666666666667,5.0,87.851,95.42507692307693,6.0,4.0
Japanese Grand Prix,2019,SAI,McLaren,66.0,101.0,12.666666666666666,8.666666666666666,88.304,95.60367307692307,7.0,5.0
Japanese Grand Prix,2019,LEC,Ferrari,213.0,405.0,2.0,7.666666666666667,87.253,96.19390196078432,2.0,6.0
Japanese Grand Prix,2019,GAS,Toro Rosso,67.0,55.0,11.0,13.666666666666666,88.836,96.61209803921568,9.0,7.0
Japanese Grand Prix,2019,PER,Racing Point,33.0,52.0,11.0,12.333333333333334,90.344,96.54688,17.0,8.0
Japanese Grand Prix,2019,STR,Racing Point,19.0,52.0,12.0,12.333333333333334,89.345,96.63945098039216,12.0,9.0
Japanese Grand Prix,2019,KVY,Toro Rosso,33.0,55.0,15.333333333333334,13.666666666666666,89.563,96.587,14.0,10.0
Japanese Grand Prix,2019,NOR,McLaren,35.0,101.0,8.333333333333334,8.666666666666666,88.464,96.87992156862745,8.0,11.0
Japanese Grand Prix,2019,RAI,Alfa Romeo Racing,31.0,35.0,15.333333333333334,15.333333333333334,89.358,97.02490196078432,13.0,12.0
Japanese Grand Prix,2019,GRO,Haas F1 Team,8.0,28.0,15.666666666666666,15.333333333333334,89.341,97.25505882352941,10.0,13.0
Japanese Grand Prix,2019,GIO,Alfa Romeo Racing,4.0,35.0,11.333333333333334,15.333333333333334,89.254,97.52466666666666,11.0,14.0
Japanese Grand Prix,2019,MAG,Haas F1 Team,20.0,28.0,14.666666666666666,15.333333333333334,88.76227777777778,97.585,19.0,15.0
Japanese Grand Prix,2019,RUS,Williams,0.0,1.0,17.0,17.666666666666668,90.364,97.91026,18.0,16.0
Japanese Grand Prix,2019,KUB,Williams,1.0,1.0,16.333333333333332,17.666666666666668,88.76227777777778,99.6297,0.0,17.0
Japanese Grand Prix,2019,VER,Red Bull Racing,209.0,306.0,5.0,5.0,87.851,97.79707692307693,5.0,18.0
Japanese Grand Prix,2019,RIC,Renault,34.0,68.0,12.333333333333334,14.333333333333334,89.822,96.1993725490196,16.0,19.0
Japanese Grand Prix,2019,HUL,Renault,34.0,68.0,8.0,14.333333333333334,90.112,96.60633333333332,15.0,20.0
Mexico City Grand Prix,2019,HAM,Mercedes,333.0,605.0,2.6666666666666665,2.0,75.262,81.56947142857143,3.0,1.0
Mexico City Grand Prix,2019,VET,Ferrari,210.0,431.0,7.0,8.666666666666666,75.17,81.70560869565217,2.0,2.0
Mexico City Grand Prix,2019,BOT,Mercedes,272.0,605.0,2.6666666666666665,2.0,75.338,81.57127142857142,6.0,3.0
Mexico City Grand Prix,2019,LEC,Ferrari,221.0,431.0,3.6666666666666665,8.666666666666666,75.024,81.79114285714286,1.0,4.0
Mexico City Grand Prix,2019,ALB,Red Bull Racing,64.0,318.0,5.0,9.0,75.336,81.95104285714287,5.0,5.0
Mexico City Grand Prix,2019,VER,Red Bull Racing,209.0,318.0,8.333333333333334,9.0,74.758,82.4859,4.0,6.0
Mexico City Grand Prix,2019,PER,Racing Point,37.0,58.0,11.333333333333334,9.333333333333334,76.687,82.50022857142856,11.0,7.0
Mexico City Grand Prix,2019,RIC,Renault,34.0,68.0,17.333333333333332,19.333333333333332,76.933,82.50025714285714,13.0,8.0
Mexico City Grand Prix,2019,GAS,Toro Rosso,73.0,62.0,9.666666666666666,10.333333333333334,76.586,82.98024637681159,10.0,9.0
Mexico City Grand Prix,2019,HUL,Renault,34.0,68.0,13.0,19.333333333333332,76.885,83.00047826086957,12.0,10.0
Mexico City Grand Prix,2019,KVY,Toro Rosso,34.0,62.0,12.333333333333334,10.333333333333334,76.469,82.95398550724637,9.0,11.0
Mexico City Grand Prix,2019,STR,Racing Point,21.0,58.0,11.0,9.333333333333334,78.065,83.05620289855072,16.0,12.0
Mexico City Grand Prix,2019,SAI,McLaren,76.0,111.0,7.666666666666667,8.0,76.014,83.30714492753623,7.0,13.0
Mexico City Grand Prix,2019,GIO,Alfa Romeo Racing,4.0,35.0,13.0,13.666666666666666,77.269,83.38979710144928,15.0,14.0
Mexico City Grand Prix,2019,MAG,Haas F1 Team,20.0,28.0,13.666666666666666,16.0,78.436,83.77407352941177,17.0,15.0
Mexico City Grand Prix,2019,RUS,Williams,0.0,1.0,17.666666666666668,16.666666666666668,78.823,84.42732352941177,19.0,16.0
Mexico City Grand Prix,2019,GRO,Haas F1 Team,8.0,28.0,14.666666666666666,16.0,78.599,84.48383823529412,18.0,17.0
