GP,Year,Driver,Team,DriverPointsBefore,TeamPointsBefore,DriverRecentForm,TeamRecentForm,QualifyingTime (s),AvgRaceTime (s),StartPosition,EndPosition
Chinese Grand Prix,2018,SIR,Williams,0.0,0.0,17.5,16.333333333333332,94.062,103.34263636363637,16.0,15.0
Chinese Grand Prix,2018,ERI,Sauber,2.0,2.0,14.0,13.333333333333334,94.914,101.3952075471698,20.0,16.0
Chinese Grand Prix,2018,GRO,Haas F1 Team,0.0,10.0,14.5,11.666666666666666,92.855,103.54534545454545,10.0,17.0
Chinese Grand Prix,2018,GAS,Toro Rosso,12.0,12.0,11.0,13.0,94.101,102.18018518518518,17.0,18.0
Chinese Grand Prix,2018,LEC,Sauber,0.0,2.0,12.5,13.333333333333334,94.454,101.69543396226416,19.0,19.0
Chinese Grand Prix,2018,HAR,Toro Rosso,0.0,12.0,16.0,13.0,93.795,102.04127083333333,15.0,20.0
Azerbaijan Grand Prix,2018,HAM,Mercedes,45.0,85.0,3.0,3.0,101.677,108.11515384615385,2.0,1.0
Azerbaijan Grand Prix,2018,RAI,Ferrari,30.0,84.0,8.0,9.666666666666666,102.49,109.98387499999998,6.0,2.0
Azerbaijan Grand Prix,2018,PER,Force India,0.0,1.0,13.0,13.0,102.547,109.940325,8.0,3.0
Azerbaijan Grand Prix,2018,VET,Ferrari,54.0,84.0,3.3333333333333335,9.666666666666666,101.498,107.9724358974359,1.0,4.0
Azerbaijan Grand Prix,2018,SAI,Renault,3.0,25.0,10.0,8.666666666666666,103.351,110.35117499999998,9.0,5.0
Azerbaijan Grand Prix,2018,LEC,Sauber,0.0,2.0,14.666666666666666,15.666666666666666,104.074,110.75802564102564,13.0,6.0
Azerbaijan Grand Prix,2018,ALO,McLaren,22.0,28.0,6.333333333333333,9.333333333333334,104.019,110.6413,12.0,7.0
Azerbaijan Grand Prix,2018,STR,Williams,0.0,0.0,14.0,14.666666666666666,103.585,110.866025,10.0,8.0
Azerbaijan Grand Prix,2018,VAN,McLaren,6.0,28.0,10.0,9.333333333333334,104.489,113.55809523809523,16.0,9.0
Azerbaijan Grand Prix,2018,HAR,Toro Rosso,0.0,12.0,17.333333333333332,18.333333333333332,117.354,112.603375,19.0,10.0
Azerbaijan Grand Prix,2018,ERI,Sauber,2.0,2.0,14.666666666666666,15.666666666666666,105.541,116.14775555555556,18.0,11.0
Azerbaijan Grand Prix,2018,GAS,Toro Rosso,12.0,12.0,13.333333333333334,18.333333333333332,104.496,112.80526829268291,17.0,12.0
Azerbaijan Grand Prix,2018,MAG,Haas F1 Team,11.0,11.0,10.666666666666666,13.333333333333334,104.759,113.28834146341464,15.0,13.0
Azerbaijan Grand Prix,2018,BOT,Mercedes,40.0,85.0,4.0,3.0,101.837,107.37236111111112,3.0,14.0
Azerbaijan Grand Prix,2018,GRO,Haas F1 Team,0.0,11.0,15.333333333333334,13.333333333333334,103.95247368421053,110.32069444444444,20.0,15.0
Azerbaijan Grand Prix,2018,VER,Red Bull Racing,18.0,55.0,10.0,8.666666666666666,101.994,108.46444117647059,5.0,16.0
Azerbaijan Grand Prix,2018,RIC,Red Bull Racing,37.0,55.0,8.333333333333334,8.666666666666666,101.911,108.47258823529413,4.0,17.0
Azerbaijan Grand Prix,2018,HUL,Renault,22.0,25.0,6.333333333333333,8.666666666666666,103.066,111.7814,14.0,18.0
Azerbaijan Grand Prix,2018,OCO,Force India,1.0,1.0,11.0,13.0,102.523,,7.0,19.0
Azerbaijan Grand Prix,2018,SIR,Williams,0.0,0.0,16.666666666666668,14.666666666666666,103.886,,11.0,20.0
Spanish Grand Prix,2018,HAM,Mercedes,70.0,110.0,2.6666666666666665,6.333333333333333,76.173,85.40671875,1.0,1.0
Spanish Grand Prix,2018,BOT,Mercedes,40.0,110.0,6.0,6.333333333333333,76.213,85.678171875,2.0,2.0
Spanish Grand Prix,2018,VER,Red Bull Racing,18.0,55.0,13.333333333333334,12.666666666666666,76.816,85.742796875,5.0,3.0
Spanish Grand Prix,2018,VET,Ferrari,66.0,114.0,4.333333333333333,4.666666666666667,76.305,85.82003125,3.0,4.0
Spanish Grand Prix,2018,RIC,Red Bull Racing,37.0,55.0,12.666666666666666,12.666666666666666,76.818,86.08671875,6.0,5.0
Spanish Grand Prix,2018,MAG,Haas F1 Team,11.0,11.0,9.333333333333334,15.0,77.676,86.92490476190477,7.0,6.0
Spanish Grand Prix,2018,SAI,Renault,13.0,35.0,8.333333333333334,10.666666666666666,77.79,87.4861746031746,9.0,7.0
